Personality,Budget,Brand,Place to Wear,Combination of Clothes,Suitable Climate,Comfortability,Material
Formal,Luxury,Zara,Office,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Formal,Medium,Uniqlo,Casual Outing,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Bohemian,Low,H&M,Formal Event,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Formal,High,Balenciaga,Night Out,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Streetwear,Luxury,Uniqlo,Beach,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Formal,Medium,Dior,Gym,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Business,Low,Gucci,Beach,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Trendy,Medium,Levi's,Night Out,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Formal,Luxury,ASOS,Casual Outing,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Business,Luxury,Zara,Night Out,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Formal,Medium,Dior,Formal Event,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Business,Luxury,Balenciaga,Formal Event,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Chic,Luxury,Zara,Gym,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Casual,Medium,Uniqlo,Wedding,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Casual,Low,Nike,Office,Tunic + Leggings + Flats,Mild,Casual,Polyester
Casual,Low,Levi's,Party,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Sporty,Luxury,Nike,Casual Outing,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Business,High,COS,Office,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Trendy,Low,Nike,Beach,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Sporty,High,Prada,Beach,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Minimalist,Luxury,Nike,Party,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Business,Medium,Prada,Formal Event,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Sporty,Luxury,H&M,Beach,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Casual,Medium,Ralph Lauren,Formal Event,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Business,Low,COS,Party,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Minimalist,Medium,ASOS,Gym,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Casual,Low,Nike,Beach,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Streetwear,Low,Nike,Wedding,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Trendy,Medium,ASOS,Party,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Business,Medium,ASOS,Party,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Formal,Luxury,H&M,Night Out,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Formal,Luxury,Versace,Casual Outing,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Minimalist,Medium,Levi's,Beach,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Trendy,Medium,Levi's,Formal Event,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Streetwear,Medium,Nike,Night Out,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Sporty,Low,Adidas,Wedding,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Trendy,High,Nike,Night Out,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Formal,High,Prada,Beach,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Casual,Medium,Versace,Formal Event,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Chic,High,Zara,Office,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Business,Low,Zara,Gym,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Formal,Medium,Gucci,Beach,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Preppy,Luxury,Versace,Office,Tunic + Leggings + Flats,Mild,Casual,Polyester
Casual,Luxury,ASOS,Party,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Preppy,High,Nike,Wedding,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Trendy,Medium,Balenciaga,Formal Event,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Sporty,Luxury,Ralph Lauren,Office,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Business,Low,Uniqlo,Party,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Minimalist,Luxury,Prada,Office,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Business,High,Versace,Wedding,Tunic + Leggings + Flats,Mild,Casual,Polyester
Bohemian,Medium,Levi's,Party,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Business,Medium,Prada,Beach,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Minimalist,High,Nike,Wedding,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Business,Medium,Ralph Lauren,Gym,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Bohemian,Luxury,Versace,Casual Outing,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Chic,Medium,Nike,Party,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Streetwear,Medium,ASOS,Office,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Streetwear,High,Uniqlo,Wedding,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Streetwear,Medium,Prada,Beach,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Streetwear,Medium,Dior,Office,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Trendy,Low,Adidas,Formal Event,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Preppy,Medium,Uniqlo,Office,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Trendy,Low,Balenciaga,Casual Outing,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Preppy,Low,Zara,Beach,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Formal,Low,Versace,Night Out,T-shirt + Jeans + Sneakers,Mild,Comfortable,Polyester
Chic,Luxury,Zara,Office,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Bohemian,High,Dior,Night Out,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Sporty,High,COS,Gym,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Casual,High,H&M,Night Out,Tunic + Leggings + Flats,Mild,Casual,Polyester
Trendy,High,H&M,Wedding,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Business,Medium,COS,Party,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Casual,Medium,Nike,Party,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Formal,High,Prada,Beach,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Streetwear,Luxury,Levi's,Office,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Trendy,Medium,Prada,Beach,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Preppy,Luxury,Ralph Lauren,Office,Plain T-shirt + Straight Leg Pants + Slip-Ons,Mild,Casual,Polyester
Formal,Low,Zara,Party,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Minimalist,Luxury,Dior,Formal Event,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Preppy,Medium,Nike,Office,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Trendy,High,Uniqlo,Office,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Bohemian,Luxury,Uniqlo,Office,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Streetwear,Medium,Nike,Beach,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Preppy,Low,ASOS,Office,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Formal,High,Prada,Formal Event,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Minimalist,Luxury,ASOS,Wedding,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
Chic,Medium,Zara,Night Out,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Formal,Luxury,ASOS,Gym,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Sporty,High,ASOS,Gym,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Formal,Luxury,Uniqlo,Night Out,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Preppy,High,Uniqlo,Formal Event,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Bohemian,Low,Levi's,Party,Flannel Shirt + Denim Shorts + Sneakers,Hot,Casual,Cotton
Business,Luxury,Uniqlo,Gym,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Chic,High,COS,Office,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Sporty,Luxury,Zara,Office,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Sporty,High,Uniqlo,Beach,Cardigan + Dress Pants + Oxford Shoes,Mild,Moderate,Polyester
Minimalist,High,Prada,Casual Outing,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Bohemian,Luxury,Versace,Beach,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Bohemian,Low,COS,Office,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Chic,Low,COS,Night Out,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Sporty,Luxury,Dior,Party,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Chic,Luxury,Uniqlo,Wedding,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Sporty,Low,Prada,Beach,Denim Jacket + Black Jeans + High-top Sneakers,Cold,Comfortable,Wool
Formal,Luxury,Dior,Office,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Minimalist,Luxury,Adidas,Casual Outing,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Preppy,Low,Levi's,Party,Graphic Tee + Slim Jeans + Boots,Mild,Comfortable,Polyester
Business,High,Levi's,Casual Outing,Windbreaker + Athletic Shorts + Running Shoes,Hot,Casual,Cotton
Minimalist,Medium,Balenciaga,Party,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Minimalist,Luxury,Levi's,Party,Tunic + Leggings + Flats,Mild,Casual,Polyester
Business,Luxury,Levi's,Gym,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Trendy,Medium,Levi's,Casual Outing,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Formal,Luxury,Zara,Party,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Business,Low,Adidas,Beach,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Preppy,Medium,Zara,Night Out,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Streetwear,Medium,ASOS,Beach,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Chic,Luxury,Adidas,Gym,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Trendy,High,Adidas,Party,Dress Shirt + Tie + Suit Pants,Mild,Moderate,Polyester
Formal,Low,Levi's,Night Out,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Trendy,Low,Zara,Party,Hoodie + Joggers + Running Shoes,Mild,Casual,Polyester
Minimalist,Medium,Prada,Night Out,Rugby Shirt + Corduroy Pants + Loafers,Mild,Casual,Polyester
Business,Luxury,Balenciaga,Formal Event,Turtleneck + Blazer + Trousers,Mild,Comfortable,Polyester
Preppy,Luxury,Nike,Night Out,Button-down Shirt + Slim Jeans + Brogues,Mild,Comfortable,Polyester
Minimalist,Medium,Prada,Office,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Casual,Luxury,Zara,Beach,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Streetwear,Medium,Ralph Lauren,Wedding,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Business,High,Nike,Formal Event,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Preppy,High,Levi's,Beach,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Trendy,Luxury,Adidas,Wedding,Sweater + Khakis + Dress Shoes,Cold,Moderate,Wool
Preppy,Medium,Nike,Wedding,Crop Top + Wide Leg Pants + Ankle Boots,Mild,Casual,Polyester
Formal,Luxury,Levi's,Casual Outing,Leather Jacket + Skinny Jeans + Boots,Cold,Comfortable,Wool
Streetwear,Luxury,Zara,Office,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Sporty,Low,Dior,Beach,Blouse + Pencil Skirt + Pumps,Mild,Moderate,Polyester
Sporty,High,Gucci,Party,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Minimalist,High,Nike,Casual Outing,Monochrome Sweater + Tailored Trousers + Chelsea Boots,Cold,Comfortable,Wool
Formal,Low,Dior,Gym,Polo Shirt + Chinos + Loafers,Mild,Casual,Polyester
Casual,Medium,Uniqlo,Casual Outing,Sweatshirt + Cargo Pants + Trainers,Mild,Casual,Polyester
Preppy,Luxury,Prada,Wedding,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Chic,Medium,Levi's,Casual Outing,Blouse + A-line Skirt + Heels,Mild,Moderate,Polyester
Chic,Low,Uniqlo,Wedding,Peacoat + Wool Trousers + Dress Boots,Mild,Comfortable,Polyester
